Kürzel,Name,Börse
MGTEW,Marblegate Capital Corp,OTC
MGTI,"MGT CAPITAL INVESTMENTS, INC.",OTC
MGTX,MeiraGTx Holdings plc - Ordinary Shares,NASDAQ
MGV,Vanguard Mega Cap Value ETF,NYSE ARCA
MGX,"Metagenomi Therapeutics, Inc. - Common Stock",NASDAQ
MGY,Magnolia Oil & Gas Corporation Class A Common Stock,NYSE
MGYR,"Magyar Bancorp, Inc. - Common Stock",NASDAQ
MH,"McGraw Hill, Inc. Common Stock",NYSE
MHD,"Blackrock MuniHoldings Fund, Inc. Common Stock",NYSE
MHF,"Western Asset Municipal High Income Fund, Inc. Common Stock",NYSE
MHH,"Mastech Digital, Inc Common Stock",AMEX
MHK,"Mohawk Industries, Inc. Common Stock",NYSE
MHLA,"Maiden Holdings, Ltd. 6.625% Notes due 2046",NYSE
MHNC,"Maiden Holdings North America, Ltd. 7.75% Notes due 2043",NYSE
MHO,"M/I Homes, Inc. Common Stock",NYSE
MHUAF,"Meihua International Medical Technologies Co., Ltd.",OTC
MHUBF,MineHub Technologies Inc.,OTC
MHY,Man Active High Yield ETF,NYSE ARCA
MI,NFT Limited Class A Ordinary Share,AMEX
MIAX,"Miami International Holdings, Inc. Common Stock",NYSE
MIBE,MIAMI BREEZE CAR CARE INC,OTC
MICC,The Magnum Ice Cream Company N.V. Ordinary Shares,NYSE
MICLF,Mycronic AB/ADR,OTC
MID,American Century Mid Cap Growth Impact ETF,NYSE ARCA
MIDD,The Middleby Corporation - Common Stock,NASDAQ
MIDE,Xtrackers S&P MidCap 400 Scored & Screened ETF,NYSE ARCA
MIDU,Direxion Mid Cap Bull 3X ETF,NYSE ARCA
MIG,VanEck Moody's Analytics IG Corporate Bond ETF,BATS
MIGI,Mawson Infrastructure Group Inc. - Common Stock,NASDAQ
MIGO,MIG Core ETF,NYSE ARCA
MILIF,Military Metals Corp.,OTC
MILK,Pacer US Cash Cows Bond ETF,BATS
MILN,Global X Millennial Consumer ETF,NASDAQ
MIMDF,MiMedia Holdings Inc.,OTC
MIMI,Mint Incorporation Limited - Class A Ordinary Shares,NASDAQ
MIMTF,Mitsubishi Materials Corp / ADR,OTC
MIN,MFS Intermediate Income Trust Common Stock,NYSE
MINBY,MINEBEA MITSUMI Inc.,OTC
MIND,"MIND Technology, Inc. - Common Stock",NASDAQ
MINE,Mayfair Gold Corp. Common Shares,AMEX
MINN,Mairs & Power Minnesota Municipal Bond ETF,BATS
MINO,PIMCO Municipal Income Opportunities Active Exchange-Traded Fund,NYSE ARCA
MINR,Minerva Gold Inc.,OTC
MINT,PIMCO Enhanced Short Maturity Active Exchange-Traded Fund,NYSE ARCA
MINV,Matthews Asia Innovators Active ETF,NYSE ARCA
MINY,YieldMax Strategic Metals & Mining Portfolio Option Income ETF,NYSE ARCA
MIR,"Mirion Technologies, Inc. Class A Common Stock",NYSE
MIRA,"MIRA Pharmaceuticals, Inc. - Common Stock",NASDAQ
MIRM,"Mirum Pharmaceuticals, Inc. - common stock",NASDAQ
MISL,First Trust Indxx Aerospace & Defense ETF,NYSE ARCA
MIST,Milestone Pharmaceuticals Inc. - Common Shares,NASDAQ
MITI,"Mitesco, Inc.",OTC
MITK,"Mitek Systems, Inc. - Common Stock",NASDAQ
MITN,"TPG Mortgage Investment Trust, Inc. 9.500% Senior Notes due 2029",NYSE
MITP,"TPG Mortgage Investment Trust, Inc. 9.500% Senior Notes due 2029",NYSE
MITQ,"Moving iMage Technologies, Inc. Common Stock",AMEX
MITT,"TPG Mortgage Investment Trust, Inc. Common Stock",NYSE
MITT$A,"TPG Mortgage Investment Trust, Inc. 8.25% Series A Cumulative Redeemable Preferred Stock",NYSE
MITT$B,"TPG Mortgage Investment Trust, Inc. 8.00% Series B Cumulative Redeemable Preferred Stock",NYSE
MITT$C,"TPG Mortgage Investment Trust, Inc. 8.00% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",NYSE
MITT-PA,"TPG Mortgage Investment Trust, Inc.",OTC
MITT-PB,"TPG Mortgage Investment Trust, Inc.",OTC
MITT-PC,"TPG Mortgage Investment Trust, Inc.",OTC
MITUF,Mitsui Chemicals Inc,OTC
MIY,"Blackrock MuniYield Michigan Quality Fund, Inc. Common Stock",NYSE
MJ,Amplify Alternative Harvest ETF,NYSE ARCA
MJMJ,"The MaryJane Group, Inc. Common Stock",OTC
MJPI,MJP International Ltd Common Stock,OTC
MJSC,MUFG Japan Small Cap Active ETF,NYSE ARCA
MJTK,"CannaSys, Inc. Common Stock",OTC
MKAM,MKAM ETF,NASDAQ
MKC,"McCormick & Company, Incorporated Common Stock",NYSE
MKC-V,MCCORMICK & CO INC,OTC
MKC.V,"McCormick & Company, Incorporated Common Stock",NYSE
MKDW,MKDWELL Tech Inc. - Ordinary Shares,NASDAQ
MKDWW,MKDWELL Tech Inc. - Warrants,NASDAQ
MKL,Markel Group Inc. Common Stock,NYSE
MKLY,McKinley Acquisition Corporation - Class A Ordinary Shares,NASDAQ
MKLYR,McKinley Acquisition Corporation - Rights,NASDAQ
MKLYU,McKinley Acquisition Corporation - Units,NASDAQ
MKOR,Matthews Korea Active ETF,NYSE ARCA
MKSI,MKS Inc. - Common Stock,NASDAQ
MKTN,Federated Hermes MDT Market Neutral ETF,NYSE ARCA
MKTR,Monkey Tree Investment Ltd,OTC
MKTW,"MarketWise, Inc. - Class A Common Stock",NASDAQ
MKTX,"MarketAxess Holdings, Inc. - Common Stock",NASDAQ
MKZR,"MacKenzie Realty Capital, Inc. - Common Stock",NASDAQ
MLAA,Mountain Lake Acquisition Corp. II - Class A Ordinary Shares,NASDAQ
MLAAU,Mountain Lake Acquisition Corp. II - Units,NASDAQ
MLAAW,Mountain Lake Acquisition Corp. II - Warrants,NASDAQ
MLAB,"Mesa Laboratories, Inc. - Common Stock",NASDAQ
MLAC,Mountain Lake Acquisition Corp. - Class A Ordinary Shares,NASDAQ
MLACR,Mountain Lake Acquisition Corp. - Right,NASDAQ
MLACU,Mountain Lake Acquisition Corp. - Units,NASDAQ
MLCGD,ML Capital Group Inc Common Stock,OTC
MLCI,Mount Logan Capital Inc. - Common Stock,NASDAQ
MLCIL,Mount Logan Capital Inc. - 8.00% Notes Due 2031,NASDAQ
MLCMF,MILLICOM INTERNATIONAL CELLULAR SA,OTC
MLCO,Melco Resorts & Entertainment Limited - American Depositary Shares,NASDAQ
MLDR,Global X Intermediate-Term Treasury Ladder ETF,NYSE ARCA
MLEC,Moolec Science SA - Ordinary Shares,NASDAQ
MLECW,Moolec Science SA - Warrant,NASDAQ
MLES,"Mint Leasing, Inc (The) Common Stock",OTC
MLGO,"MicroAlgo, Inc. - Ordinary Shares",NASDAQ
MLI,"Mueller Industries, Inc. Common Stock",NYSE
MLIZY,MELIUZ S.A.,OTC
MLKN,"MillerKnoll, Inc. - Common Stock",NASDAQ
MLM,"Martin Marietta Materials, Inc. Common Stock",NYSE
MLMC,"FrankSpeech Network, Inc.",OTC
MLN,VanEck Long Muni ETF,BATS
MLP,"Maui Land & Pineapple Company, Inc. Common Stock",NYSE
MLPA,Global X MLP ETF,NYSE ARCA
MLPB,"ETRACS Alerian MLP Infrastructure Index ETN Series B due April 2, 2040",NYSE ARCA
MLPD,Global X MLP & Energy Infrastructure Covered Call ETF,NYSE ARCA
MLPI,NEOS MLP & Energy Infrastructure High Income ETF,BATS
MLPR,ETRACS Quarterly Pay 1.5X Leveraged Alerian MLP Index ETN,NYSE ARCA
MLPX,Global X MLP & Energy Infrastructure ETF,NYSE ARCA
MLR,"Miller Industries, Inc. Common Stock",NYSE
MLRT,"Metalert, Inc.",OTC
MLSOD,HashingSpace Corp. Common Stock,OTC
MLSPF,Melrose Industries Plc/ADR,OTC
MLSS,"Milestone Scientific, Inc. Common Stock",AMEX
MLTX,MoonLake Immunotherapeutics - Class A Ordinary Shares,NASDAQ
MLYS,"Mineralys Therapeutics, Inc. - Common Stock",NASDAQ
MMA,Mixed Martial Arts Group Limited Ordinary Shares,AMEX
MMAX,iShares Large Cap Max Buffer Mar ETF,BATS
MMCA,NYLI MacKay California Muni Intermediate ETF,NYSE ARCA
MMCP,"Mag Mile Capital, Inc.",OTC
MMD,NYLI MacKay DefinedTerm Muni Opportunities Fund Common Shares,NYSE
MMED,"MiniMed Group, Inc. - Common Stock",NASDAQ
MMEG,Momentous Entertainment Group Inc. Common Stock,OTC
MMEX,MMEX Resources Corp,OTC
MMI,"Marcus & Millichap, Inc. Common Stock",NYSE
MMID,MFS Active Mid Cap ETF,NYSE
MMIN,NYLI MacKay Muni Insured ETF,NYSE ARCA
MMIT,NYLI MacKay Muni Intermediate ETF,NYSE ARCA
MMK,State Street Prime Money Market ETF,NYSE
MMKT,Texas Capital Government Money Market ETF,NYSE
MMLG,First Trust Multi-Manager Large Growth ETF,NYSE ARCA
MMLP,Martin Midstream Partners L.P. - Common Units Representing Limited Partnership Interests,NASDAQ
MMM,3M Company Common Stock,NYSE
MMMA,NYLI MacKay Muni Allocation ETF,NYSE ARCA
MMMS,"Medytox Solutions, Inc. Common",OTC
MMMW,MASS MEGAWATTS WIND POWER INC,OTC
MMS,"Maximus, Inc. Common Stock",NYSE
MMSC,First Trust Multi-Manager Small Cap Opportunities ETF,NYSE ARCA
MMSD,NYLI MacKay Muni Short Duration ETF,NYSE ARCA
MMSI,"Merit Medical Systems, Inc. - Common Stock",NASDAQ
MMT,MFS Multimarket Income Trust Common Stock,NYSE
MMTIF,"Micromem Technologies, Inc. Ordinary Shares (Canada)",OTC
MMTM,State Street SPDR S&P 1500 Momentum Tilt ETF,NYSE ARCA
MMTRS,MILLS MUSIC TRUST,OTC
MMTX,Miluna Acquisition Corp - Class A Ordinary Shares,NASDAQ
MMTXU,Miluna Acquisition Corp - Units,NASDAQ
MMTXW,Miluna Acquisition Corp - Warrant,NASDAQ
MMU,"Western Asset Managed Municipals Fund, Inc. Common Stock",NYSE
MMXGY,Minimax Group Inc./ADR,OTC
MMYT,MakeMyTrip Limited - Ordinary Shares,NASDAQ
MNA,NYLI Merger Arbitrage ETF,NYSE ARCA
MNBD,ALPS BBH Intermediate Municipal Bond ETF,NYSE ARCA
MNBEF,MINEBEA MITSUMI Inc.,OTC
MNDO,MIND C.T.I. Ltd. - Ordinary Shares,NASDAQ
MNDR,Mobile-health Network Solutions - Class A Ordinary Shares,NASDAQ
MNDY,monday.com Ltd. - Ordinary Shares,NASDAQ
MNESP,MSA Safety Inc,OTC
MNKD,MannKind Corporation - Common Stock,NASDAQ
MNLCF,MANULIFE FINANCIAL CORP,OTC
MNMXF,Minimax Group Inc./ADR,OTC
MNOV,"MediciNova, Inc. - Common Stock",NASDAQ
MNPR,Monopar Therapeutics Inc. - Common Stock,NASDAQ
MNQFF,MANULIFE FINANCIAL CORP,OTC
MNR,Mach Natural Resources LP Common Units representing Limited Partner Interests,NYSE
MNRO,"Monro, Inc.  - Common Stock",NASDAQ
MNRS,Grayscale Bitcoin Miners ETF,NYSE ARCA
MNSB,"MainStreet Bancshares, Inc. - Common Stock",NASDAQ
MNSBP,"MainStreet Bancshares, Inc. - Depositary Shares",NASDAQ
MNSKY,MoneySupermarket.com Group PLC/ADR,OTC
MNSO,"MINISO Group Holding Limited American Depositary Shares, each representing four Ordinary Shares",NYSE
MNST,Monster Beverage Corporation - Common Stock,NASDAQ
MNTK,"Montauk Renewables, Inc. - Common Stock",NASDAQ
MNTN,"MNTN, Inc. Class A Common Stock",NYSE
MNTR,"Mentor Capital, Inc.",OTC
MNTS,Momentus Inc. - Class A Common Stock,NASDAQ
MNTSW,Momentus Inc. - Warrant,NASDAQ
MNUFF,MANULIFE FINANCIAL CORP,OTC
MNUPF,MANULIFE FINANCIAL CORP,OTC
MNVT,Moonvest ETF,NASDAQ
MNY,MoneyHero Limited - Class A Ordinary Shares,NASDAQ
MNYWW,MoneyHero Limited - Warrants,NASDAQ
MNZL,Manzil Russell Halal USA Broad Market ETF,NASDAQ
MNZLY,Mercury NZ Ltd./ADR,OTC
MO,"Altria Group, Inc.",NYSE
MOAT,VanEck Morningstar Wide Moat ETF,BATS
MOB,Mobilicom Limited - Ordinary Shares,NASDAQ
MOBBW,Mobilicom Limited - Warrants,NASDAQ
MOBO,Mobile Lads Corporation.Common Stock,OTC
MOBQ,"Mobiquity Technologies, Inc.",OTC
MOBQW,"Mobiquity Technologies, Inc.",OTC
MOBX,"Mobix Labs, Inc. - Class A Common Stock",NASDAQ
MOBXW,"Mobix Labs, Inc. - Warrants",NASDAQ
MOD,Modine Manufacturing Company Common Stock,NYSE
MODD,"Modular Medical, Inc. - common stock",NASDAQ
MODL,VictoryShares WestEnd U.S. Sector ETF,NASDAQ
MOG-A,MOOG INC.,OTC
MOG-B,MOOG INC.,OTC
MOG.A,Moog Inc. Class A Common Stock,NYSE
MOG.B,Moog Inc. Class B Common Stock,NYSE
MOGMF,Mogotes Metals Inc.,OTC
MOGU,MOGU Inc. American Depositary Shares (each  representing 25 Class A Ordinary Shares),NYSE
MOH,Molina Healthcare Inc Common Stock,NYSE
MOJO,EQUATOR Beverage Co,OTC
MOLN,Molecular Partners AG - American Depositary Shares,NASDAQ
MOMO,Hello Group Inc.  - American Depositary Shares,NASDAQ
MONRF,Moncler S.p.A./ADR,OTC
MOO,VanEck Agribusiness ETF,NYSE ARCA
MOOD,Relative Sentiment Tactical Allocation ETF,NASDAQ
MORN,"Morningstar, Inc. - Common Stock",NASDAQ
MORT,VanEck Mortgage REIT Income ETF,NYSE ARCA
MOS,Mosaic Company (The) Common Stock,NYSE
MOST,"MobileSmith, Inc. Common Stock",OTC
MOTG,VanEck Morningstar Global Wide Moat ETF,BATS
MOTI,VanEck Morningstar International Moat ETF,BATS
MOTO,Guinness Atkinson Smart Transportation & Technology ETF,NYSE ARCA
MOV,Movado Group Inc. Common Stock,NYSE
MOVAA,MOVADO GROUP INC,OTC
MOVE,"Corvex, Inc. - Common Stock",NASDAQ
MOXC,"Moxian China, Inc. Common Stock",OTC
MP,MP Materials Corp. Common Stock,NYSE
MPA,Blackrock MuniYield Pennsylvania Quality Fund Common Stock,NYSE
MPAA,"Motorcar Parts of America, Inc. - Common Stock",NASDAQ
MPB,Mid Penn Bancorp - Common Stock,NASDAQ
MPC,Marathon Petroleum Corporation Common Stock,NYSE
MPG,Leverage Shares 2X Long MP Daily ETF,NASDAQ
MPGS,Malaysia Pro-Guardians Security Management Corporation Common Stock,OTC
MPJPY,Metaplanet Inc.,OTC
MPJS,MPJS Group Ltd,OTC
MPL,Defiance Daily Target 2X Long MP ETF,NYSE ARCA
MPLT,"MapLight Therapeutics, Inc. - Common Stock",NASDAQ
MPLX,MPLX LP Common Units Representing Limited Partner Interests,NYSE
MPLXP,MPLX LP,OTC
MPLY,Monopoly ETF,BATS
MPNGF,Meituan Dianping/ADR,OTC
MPRO,Monarch ProCap Index ETF,BATS
MPT,"Medical Properties Trust, Inc. common stock",NYSE
MPTI,"M-tron Industries, Inc. Common Stock",AMEX
MPTI.R,"M-tron Industries, Inc. Rights (expiring April 15, 2026) Rights",AMEX
MPU,Mega Matrix Inc. Class A Ordinary Shares,AMEX
MPV,Barings Participation Investors Common Stock,NYSE
MPWR,"Monolithic Power Systems, Inc. - Common Stock",NASDAQ
MPX,Marine Products Corporation Common Stock,NYSE
MQ,"Marqeta, Inc. - Class A Common Stock",NASDAQ
MQQQ,Tradr 2X Long Innovation 100 Monthly ETF,NASDAQ
MQY,"Blackrock MuniYield Quality Fund, Inc. Common Stock",NYSE
MRAI,"Marpai, Inc.",OTC
MRAL,GraniteShares 2x Long MARA Daily ETF,NASDAQ
MRAM,"Everspin Technologies, Inc. - Common Stock",NASDAQ
MRBK,Meridian Corporation - Common Stock,NASDAQ
MRCA,Canary American-Made Crypto ETF,OTC
MRCC,Monroe Capital Corporation - Closed End Fund,NASDAQ
MRCIF,"Mercari, Inc./ADR",OTC
MRCP,PGIM S&P 500 Buffer 12 ETF - March,BATS
MRCY,Mercury Systems Inc - Common Stock,NASDAQ
MRDN,Meridian Holdings Inc. - Common Stock,NASDAQ
MREGY,Meridian Energy Ltd/ADR,OTC
MREO,Mereo BioPharma Group plc - American Depositary Shares,NASDAQ
MRGR,ProShares Merger ETF,BATS
MRIC,MRI Interventions Inc Common Stock,OTC
MRJT,3D MAKERJET INC Common,OTC
MRK,"Merck & Company, Inc. Common Stock (new)",NYSE
MRKR,"Marker Therapeutics, Inc. - Common Stock",NASDAQ
MRLN,"Merlin, Inc. - Common Stock",NASDAQ
MRM,MEDIROM Healthcare Technologies Inc. - American Depositary Share,NASDAQ
MRMD,MARIMED INC.,OTC
MRNA,"Moderna, Inc. - Common Stock",NASDAQ
MRNO,Murano Global Investments PLC - Ordinary Shares,NASDAQ
MRNOW,Murano Global Investments PLC - Warrants,NASDAQ
MRNX,Defiance Daily Target 2X Long MRNA ETF,NYSE ARCA
MRNY,YieldMax MRNA Option Income Strategy ETF,NYSE ARCA
MROSY,Melrose Industries Plc/ADR,OTC
MRP,"Millrose Properties, Inc. Class A Common Stock",NYSE
MRPT,MACREPORT NET INC,OTC
MRRDF,Meridian Mining UK Societas,OTC
MRSH,Marsh Common Stock,NYSE
MRSK,Toews Agility Shares Managed Risk ETF,NYSE ARCA
MRT,"Marti Technologies, Inc. Class A Ordinary Shares",AMEX
MRTN,"Marten Transport, Ltd. - Common Stock",NASDAQ
MRUWY,"Maruwa Co., Ltd./ADR",OTC
MRVI,"Maravai LifeSciences Holdings, Inc. - Class A common stock",NASDAQ
MRVL,"Marvell Technology, Inc. - Common Stock",NASDAQ
MRVU,Direxion Daily MRVL Bull 2X ETF,NASDAQ
MRX,Marex Group plc - Ordinary Shares,NASDAQ
MRXC,Mirax Corp. Common Stock,OTC
MRZLF,Mirasol Resources Ltd,OTC
MS,Morgan Stanley Common Stock,NYSE
MS$A,Morgan Stanley Dep Shs repstg 1/1000 Pfd Ser A,NYSE
MS$E,Morgan Stanley DEPOSITARY SHARES REP 1/1000TH SHARES FIXED/FLTG PREFERRED STOCK SERIES E,NYSE
MS$F,Morgan Stanley Dep Shs Rpstg 1/1000th Int Prd Ser F Fxd to Flag,NYSE
MS$I,Morgan Stanley Depository Shares Representing 1/1000th Preferred Series 1 Fixed to Floating Non (Cum),NYSE
MS$K,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of Fixed-to-Floating Rate Non-Cumulative Preferred Stock,  Series K",NYSE
MS$L,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 4.875% Non-Cumulative Preferred Stock, Series L",NYSE
MS$O,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 4.250% Non-Cumulative Preferred Stock, Series O",NYSE
MS$P,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 6.500% Non-Cumulative Preferred Stock, Series P",NYSE
MS$Q,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 6.625% Non-Cumulative Preferred Stock, Series Q",NYSE
MS-PA,MORGAN STANLEY,OTC
MS-PE,MORGAN STANLEY,OTC
MS-PF,MORGAN STANLEY,OTC
MS-PI,MORGAN STANLEY,OTC
MS-PK,MORGAN STANLEY,OTC
MS-PL,MORGAN STANLEY,OTC
MS-PO,MORGAN STANLEY,OTC
MS-PP,MORGAN STANLEY,OTC
MS-PQ,MORGAN STANLEY,OTC
MSA,MSA Safety Incorporated Common Stock,NYSE
MSAI,"MultiSensor AI Holdings, Inc. - Common Stock",NASDAQ
MSAIW,"MultiSensor AI Holdings, Inc. - Warrants",NASDAQ
MSB,Mesabi Trust Common Stock,NYSE
MSBB,"Mercer Bancorp, Inc.",OTC
MSBI,"Midland States Bancorp, Inc. - Common Stock",NASDAQ
MSBIP,"Midland States Bancorp, Inc. - Depositary Shares Each Representing a 1/40th Interest in a Share of 7.750% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A",NASDAQ
MSC,"Studio City International Holdings Limited American depositary shares, each representing four  Class A ordinary shares",NYSE
MSCI,MSCI Inc. Common Stock,NYSE
MSD,"Morgan Stanley Emerging Markets Debt Fund, Inc. Common Stock",NYSE
MSDD,GraniteShares 2x Short MSTR Daily ETF,NASDAQ
MSDL,Morgan Stanley Direct Lending Fund Common Stock,NYSE
MSEX,Middlesex Water Company - Common Stock,NASDAQ
MSEXP,MIDDLESEX WATER CO,OTC
MSFD,Direxion Daily MSFT Bear 1X ETF,NASDAQ
MSFL,GraniteShares 2x Long MSFT Daily ETF,NASDAQ
MSFO,YieldMax MSFT Option Income Strategy ETF,NYSE ARCA
MSFT,Microsoft Corporation - Common Stock,NASDAQ
MSFU,Direxion Daily MSFT Bull 2X ETF,NASDAQ
MSFW,Roundhill MSFT WeeklyPay ETF,BATS
MSFX,T-Rex 2X Long Microsoft Daily Target ETF,BATS
MSFY,Kurv Yield Premium Strategy Microsoft (MSFT) ETF,BATS
MSGE,Madison Square Garden Entertainment Corp. Class A Common Stock,NYSE
MSGM,Motorsport Games Inc. - Class A Common Stock,NASDAQ
MSGS,Madison Square Garden Sports Corp. Class A Common Stock (New),NYSE
MSGY,Masonglory Limited - Ordinary Shares,NASDAQ
MSI,"Motorola Solutions, Inc. Common Stock",NYSE
MSIF,"MSC Income Fund, Inc. Common Stock",NYSE
MSII,REX MSTR Growth & Income ETF,BATS
MSLC,Morgan Stanley Pathway Large Cap Equity ETF,NYSE ARCA
MSLE,Satellos Bioscience Inc. - Common Stock,NASDAQ
MSM,"MSC Industrial Direct Company, Inc. Common Stock",NYSE
MSMR,McElhenny Sheffield Managed Risk ETF,BATS
MSMU,MSM FRONTIER CAPITAL ACQUISITION CORP.,OTC
MSN,Emerson Radio Corporation Common Stock,AMEX
MSOGF,MINISO Group Holding Ltd,OTC
MSOKF,Mitsui-Soko Holdings Co Limited/ADR,OTC
MSOO,Leverage Shares 2x Capped Accelerated MSTR Monthly ETF,BATS
MSOS,AdvisorShares Pure US Cannabis ETF,NYSE ARCA
MSOX,AdvisorShares MSOS Daily Leveraged ETF,NYSE ARCA
MSPR,"MSP Recovery, Inc.",OTC
MSPRW,"MSP Recovery, Inc.",OTC
MSPRZ,"MSP Recovery, Inc.",OTC
MSS,Maison Solutions Inc. - Class A Common Stock,NASDAQ
MSSAF,Metal Sky Star Acquisition Corp,OTC
MSSHY,Mitsui-Soko Holdings Co Limited/ADR,OTC
MSSM,Morgan Stanley Pathway Small-Mid Cap Equity ETF,NYSE ARCA
MSSS,Monarch Select Subsector Index ETF,BATS
MSST,YieldMax MSTR Performance & Distribution Target 25 ETF,BATS
MSSUF,Metal Sky Star Acquisition Corp,OTC
MSSWF,Metal Sky Star Acquisition Corp,OTC
MST,Defiance Leveraged Long + Income MSTR ETF,NASDAQ
MSTB,LHA Market State Tactical Beta ETF,BATS
MSTI,Madison Short Term Strategic Income ETF,NYSE ARCA
MSTK,Tuttle Capital MSTR 0DTE Covered Call ETF,BATS
MSTKY,MatsukiyoCocokara & Co./ADR,OTC
MSTP,GraniteShares 2x Long MSTR Daily ETF,NASDAQ
MSTQ,LHA Market State Tactical Q ETF,BATS
MSTR,Strategy Inc - Class A Common Stock,NASDAQ
MSTU,T-Rex 2X Long MSTR Daily Target ETF,BATS
MSTW,Roundhill MSTR WeeklyPay ETF,BATS
MSTX,Defiance Daily Target 2x Long MSTR ETF,NASDAQ
MSTY,YieldMax MSTR Option Income Strategy ETF,NYSE ARCA
MSTZ,T-Rex 2X Inverse MSTR Daily Target ETF,BATS
MSUXF,Misumi Group Inc./ADR,OTC
MSW,Ming Shing Group Holdings Limited - Ordinary Shares,NASDAQ
MT,Arcelor Mittal NY Registry Shares NEW,NYSE
MTA,Metalla Royalty & Streaming Ltd. Common Shares,AMEX
MTAL,Metals Acquisition Corp. II,OTC
MTAL-UN,Metals Acquisition Corp. II,OTC
MTAL.U,"Metals Acquisition Corp. II Units, each consisting of one Class A ordinary share and one-third of one redeemable warrant",NYSE
MTB,M&T Bank Corporation Common Stock,NYSE
MTB$H,"M&T Bank Corporation Perpetual Fixed-to-Floating Rate Non-Cumulative Preferred Stock, Series H",NYSE
MTB$J,"M&T Bank Corporation Depositary Shares each representing a 1/400th ownership interest in a share of Perpetual 7.500% Non-Cumulative Preferred Stock, Series J",NYSE
MTB$K,"M&T Bank Corporation Depositary Shares each representing a 1/400th interest in a share of Perpetual 6.350% Non-Cumulative Preferred Stock, Series K",NYSE
MTB-PH,M&T BANK CORP,OTC
MTB-PJ,M&T BANK CORP,OTC
MTB-PK,M&T BANK CORP,OTC
MTBA,Simplify MBS ETF,NYSE ARCA
MTC,"MMTec, Inc. - Common Shares",NASDAQ
MTCH,"Match Group, Inc. - Common Stock",NASDAQ
MTCP,Merecot Corporation Common Stock,OTC
MTD,"Mettler-Toledo International, Inc. Common Stock",NYSE
MTDR,Matador Resources Company Common Stock,NYSE
MTEK,Maris-Tech Ltd. - ordinary shares,NASDAQ
MTEKW,Maris-Tech Ltd. - Warrants,NASDAQ
MTEN,Mingteng International Corporation Inc. - Class A Ordinary Shares,NASDAQ
MTEST,"NYSE Texas, Inc. TEST Common Stock",M
MTEX,"Mannatech, Incorporated - Common Stock",NASDAQ
MTG,MGIC Investment Corporation Common Stock,NYSE
MTGB,Meetinghouse Bancorp Inc. Com,OTC
MTGP,WisdomTree Mortgage Plus Bond Fund,NYSE ARCA
MTGRF,MGX Resources Limited/ADR,OTC
MTH,Meritage Homes Corporation Common Stock,NYSE
MTLK,METALINK LTD,OTC
MTLMY,Metallium Limited/ADR,OTC
MTLPF,Metlen Energy & Metals PLC/ADR,OTC
MTLS,Materialise NV - American Depositary Shares,NASDAQ
MTMCF,Metallium Limited/ADR,OTC
MTMTY,Metlen Energy & Metals PLC/ADR,OTC
MTMV,Motomova Inc,OTC
MTN,"Vail Resorts, Inc. Common Stock",NYSE
MTNB,"Matinas Biopharma Holdings, Inc. Common Stock",AMEX
MTPLF,Metaplanet Inc.,OTC
MTR,Mesa Royalty Trust Common Stock,NYSE
MTRA,Invesco International Growth Focus ETF,BATS
MTRN,Materion Corporation,NYSE
MTRX,Matrix Service Company - Common Stock,NASDAQ
MTSI,"MACOM Technology Solutions Holdings, Inc. - Common Stock",NASDAQ
MTTCF,Steakholder Foods Ltd.,OTC
MTUL,ETRACS 2x Leveraged MSCI US Momentum Factor TR ETN,NYSE ARCA
MTUM,iShares MSCI USA Momentum Factor ETF,BATS
MTUS,Metallus Inc. Common Shares,NYSE
MTVA,MetaVia Inc.  - Common Stock,NASDAQ
MTVE,"Motive Technologies, Inc.",OTC
MTW,"Manitowoc Company, Inc. (The) Common Stock",NYSE
MTWO,"M2i Global, Inc.",OTC
MTX,Minerals Technologies Inc. Common Stock,NYSE
MTYY,GraniteShares YieldBOOST MSTR ETF,NASDAQ
MTZ,"MasTec, Inc. Common Stock",NYSE
MU,"Micron Technology, Inc. - Common Stock",NASDAQ
MUA,"Blackrock MuniAssets Fund, Inc Common Stock",NYSE
MUB,iShares National Muni Bond ETF,NYSE ARCA
MUC,"Blackrock MuniHoldings California Quality Fund, Inc.  Common Stock",NYSE
MUD,Direxion Daily MU Bear 1X ETF,NASDAQ
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",NYSE
MUJ,"Blackrock MuniHoldings New Jersey Quality Fund, Inc. Common Stock",NYSE
MULL,GraniteShares 2x Long MU Daily ETF,NASDAQ
MULT,Franklin Multisector Income ETF,NASDAQ
MUNA,Northern Trust 2030 Tax-Exempt Distributing Ladder ETF,NYSE ARCA
MUNB,Northern Trust 2035 Tax-Exempt Distributing Ladder ETF,NYSE ARCA
MUNC,Northern Trust 2045 Tax-Exempt Distributing Ladder ETF,NYSE ARCA
MUND,Northern Trust 2055 Tax-Exempt Distributing Ladder ETF,NYSE ARCA
